N,ALB,Albania,565,albania
L,kategoriasuperiore,10,Kategoria Superiore,
N,ALG,Algeria,410,algeria
L,ligue1,10,Ligue 1,
N,ARG,Argentina,270,argentina
C,supercup,1,Supercopa Argentina,
L,superliga,10,Primera Divisi&oacute;n,
L,paulista,20,Paulista,
L,primeranacional,30,Primera Nacional,
L,primerabmetropolitana,30,Primera B Metropolitana,
L,federala,60,Federal A
N,ARM,Armenia,910,armenia
L,premierleague,10,Premier League,
N,AUS,Australia,40,australia
L,aleague,10,A-League,
L,wleague,10,W-League,
C,ffacup,100,FFA Cup,
N,AUT,Austria,140,austria
L,bundesliga,10,Bundesliga,
L,2liga,20,2. Liga,
C,cup,100,&Ouml;FB-Cup,
N,AZE,Azerbaijan,820,azerbaijan
L,premierleague,10,Premier League,
N,BLR,Belarus,450,belarus
L,premierleague,10,Premier League,
N,BEL,Belgium,80,belgium
N,BOL,Bolivia,760,bolivia
N,BIH,Bosnia-Herzogovina,540,bosniaherzogovina
N,BRA,Brazil,360,brazil
L,seriea,10,Serie A,
L,serieb,15,Serie B,
N,BUL,Bulgaria,390,bulgaria
N,CAN,Canada,210,canada
L,premierleague,10,Canadian Premier League,
N,CHI,Chile,580,chile
C,cup,100,Copa Chile,
N,CHN,China,530,china
L,superleague,10,Super League,
N,COL,Colombia,620,colombia
N,CRC,Costa Rica,430,costarica
N,CRO,Croatia,290,croatia
N,CYP,Cyprus,550,cyprus
N,CZE,Czech Republic,220,czechrepublic
N,DEN,Denmark,120,denmark
N,ECU,Ecuador,750,ecuador
N,EGY,Egypt,790,egypt
L,premierleague,10,Premier League,
C,cup,100,Egypt FA Cup,
N,SLV,El Salvador,780,elsalvador
N,ENG,England,20,england
N,EST,Estonia,460,estonia
C,supercup,1,Eesti Superkarikas,
L,meistriliiga,10,Meistriliiga,
N,FRO,Faroe Islands,900,faroeislands
N,FIN,Finland,320,finland
L,veikkausliiga,10,Veikkausliiga,
L,kansallinenliiga,10,Kansallinenliiga,
L,ykkonen,20,Ykkonen,
C,cup,100,Suomen Cup,
N,FRA,France,70,france
N,GEO,Georgia,870,georgia
N,GER,Germany,50,germany
N,GHA,Ghana,930,ghana
L,premierleague,10,Premier League,
N,GRE,Greece,370,greece
N,GUA,Guatemala,700,guatemala
N,HON,Honduras,610,honduras
N,HUN,Hungary,340,hungary
N,ISL,Iceland,640,iceland
L,urvalsdeild,10,Urvalsdeild,
L,1deild,20,1. Deild,
C,cup,100,Icelandic FA Cup,
N,IND,India,770,india
N,IDN,Indonesia,810,indonesia
N,INT,Internationals,10,internationals
C,friendlies,999,International Friendlies,
C,clubfriendlies,1000,Club Friendlies,
L,euro,426,UEFA Euro 2020,
L,championsleague,300,UEFA Champions League,
L,europaleague,310,UEFA Europa League,
L,europaconferenceleague,320,UEFA Conference League,
C,copaamerica,555,Copa America,
C,afcchampionsleague,700,AFC Champions League,
C,afccup,710,AFC Cup,
N,IRN,Iran,520,iran
L,persiangulfproleague,10,Persian Gulf Pro League,
L,azadeganleague,20,Azadegan League,
C,hazficup,100,Hazfi Cup,
N,IRL,Ireland,180,ireland
C,supercup,1,Super Cup,
L,premierdivision,10,League of Ireland Premier Division,
L,1division,20,League of Ireland First Division,
C,leaguecup,50,League of Ireland Cup,
C,faicup,100,FAI Cup,
N,ISR,Israel,590,israel
N,ITA,Italy,110,italy
N,JPN,Japan,90,japan
L,jleague,10,J-League,
L,jleague2,20,J-League 2,
C,cup,100,Emperor's Cup,
C,leaguecup,200,J-League Cup Group A,
N,JOR,Jordan,850,jordan
N,KAZ,Kazakhstan,690,kazakhstan
L,premierleague,10,Premier League,
N,KEN,Kenya,660,kenya
N,LVA,Latvia,420,latvia
L,virsliga,10,Virsliga,
N,LTU,Lithuania,300,lithuania
L,alyga,10,A-Lyga,
N,LUX,Luxembourg,605,luxembourg
N,MKD,North Macedonia,600,macedonia
N,MAS,Malaysia,740,malaysia
N,MEX,Mexico,260,mexico
N,MDA,Moldova,670,moldova
L,nationaldivision,10,Divizia Na&tcedil;ional&abreve;,
N,MNE,Montenegro,510,montenegro
N,MAR,Morocco,500,morocco
L,botolapro,10,Botola Pro,
N,MYA,Myanmar,730,myanmar
N,NED,Netherlands,100,netherlands
N,NCA,Nicuragua,890,nicuragua
N,NGA,Nigeria,840,nigeria
L,npfl,10,Nigeria Professional Football League,
N,NIR,Northern Ireland,170,northernireland
N,NOR,Norway,250,norway
L,eliteserien,10,Eliteserien,
L,toppserien,10,Toppserien,
L,1divisjon,20,1. Divisjon,
L,2divisjonavd1,31,2. Divisjon avd 1,
L,2divisjonavd2,32,2. Divisjon avd 2,
N,PAR,Paraguay,470,paraguay
N,PER,Peru,630,peru
N,POL,Poland,350,poland
N,POR,Portugal,160,portugal
N,QAT,Qatar,860,qatar
N,ROU,Romania,680,romania
N,RUS,Russia,200,russia
N,KSA,Saudi Arabia,800,saudiarabia
N,SCO,Scotland,30,scotland
N,SRB,Serbia,230,serbia
N,SIN,Singapore,650,singapore
N,SVK,Slovakia,490,slovakia
N,SVN,Slovenia,480,slovenia
N,RSA,South Africa,560,southafrica
N,KOR,South Korea,280,southkorea
L,kleague~kleague1,10,K-League,
L,kleague2,20,K-League 2,
C,cup,100,Korean FA Cup,
N,ESP,Spain,60,spain
N,SWE,Sweden,150,sweden
L,allsvenskan,10,Allsvenskan,
L,damallsvenskan,10,Damallsvenskan,
L,superettan,20,Superettan,
C,cup,100,Svenska Cupen,
N,SUI,Switzerland,130,switzerland
N,TAN,Tanzania,920,tanzania
L,premierleague,10,Premier League,
N,THA,Thailand,570,thailand
N,TUN,Tunisia,440,tunisia
N,TUR,Turkey,240,turkey
N,UKR,Ukraine,330,ukraine
N,UAE,United Arab Emirates,830,unitedarabemirates
N,USA,United States,190,unitedstates
L,nwsl,10,National Women's Soccer League,
L,majorleaguesoccer,10,Major League Soccer,
L,nisa~nisachampionship,20,NISA Championship,
L,usl~uslchampionship,30,United Soccer League Championship,
L,uslleagueone,40,USL League 1,
N,URU,Uruguay,380,uruguay
L,primeradivision,10,Primera Division,
N,VEN,Venezuela,400,venezuela
L,primeradivision,10,Primera Division, 
N,VIE,Vietnam,880,vietnam
N,WAL,Wales,310,wales
