			N,ALB,Albania,565,albania
L,africacupofnationsqualificationgrpf,1305,Africa Cup Of Nations Qualifiers Group F,
L,africacupofnationsqualificationgrpg,1306,Africa Cup Of Nations Qualifiers Group G,
L,africacupofnationsqualificationgrph,1307,Africa Cup Of Nations Qualifiers Group H,
L,africacupofnationsqualificationgrpi,1308,Africa Cup Of Nations Qualifiers Group I,
L,africacupofnationsqualificationgrpj,1309,Africa Cup Of Nations Qualifiers Group J,
L,africacupofnationsqualificationgrpk,1310,Africa Cup Of Nations Qualifiers Group K,
L,africacupofnationsqualificationgrpl,1311,Africa Cup Of Nations Qualifiers Group L,
L,cecafaseniorchallengecupgrpa,1350,CECAFA Senior Challenge Cup Group A,
L,cecafaseniorchallengecupgrpb,1351,CECAFA Senior Challenge Cup Group B,
L,cecafaseniorchallengecupgrpc,1352,CECAFA Senior Challenge Cup Group C,
L,cecafaseniorchallengecupfinalstage,1352,CECAFA Senior Challenge Cup Finals,
C,cosafacupplacementmatches,1353,COSAFA Cup Placement Matches,
N,IRN,Iran,520,iran
			L,persiangulfproleague,10,Persian Gulf Pro League,
			L,azadeganleague,20,Azadegan League,
C,hazficup,100,Hazfi Cup,
N,IRL,Ireland,180,ireland
			C,supercup,1,Super Cup,
			L,premierdivision,10,League of Ireland Premier Division,
			C,premierdivisionqualification,11,League of Ireland Premier Division Qualification,
C,1divisionpromotionplayoff,20,League of Ireland First Division Promotion Playoff,
			L,1division,20,League of Ireland First Division,
			C,leaguecup,50,League of Ireland Cup,
			C,faicup,100,FAI Cup,
N,ISR,Israel,590,israel
C,supercup,1,Supercup,
L,ligathaal,10,Ligat Ha'al,
L,ligathaalchampionshipgroup,11,Ligat Ha'al Championship Group,
L,ligathaalrelegationgroup,12,Ligat Ha'al Relegation Group,
L,leumitleague,20,Leumit League,
L,leumitleagueplayoffpromotiongroup,21,Leumit League Playoff Promotion Group,
L,leumitleagueplayoffrelegationgroup,22,Leumit League Playoff Relegation Group,
C,leumitleaguequalification,23,Leumit League Qualification,
C,totocupuefaqualifiersmatch,50,Toto Cup UEFA Qualifier,
C,totocupplacementmatches,50,Toto Cup Placement Matches,
C,totocup,50,Toto Cup,
C,totocupfinalstage,51,Toto Cup Finals,
C,cup,100,Israeli FA Cup,
N,ITA,Italy,110,italy
C,supercup,1,Supercoppa Italiana,
L,seriea,10,Serie A,
L,serieawomen,10,Serie A Femminile, 
L,serieb,20,Serie B,
C,seriebpromotionplayoff,21,Serie B Promotion Playoff,
C,seriebrelegationplayoff,22,Serie B Relegation Playoff,
L,seriecgrpa,31,Serie C Gruppa A,
L,seriecgrpb,32,Serie C Gruppa B,
L,seriecgrpc,33,Serie C Gruppa C,
C,seriecpromotionplayoffgrpa,34,Serie C Promotion Playoff Group A,
C,seriecpromotionplayoffgrpb,35,Serie C Promotion Playoff Group B,
C,seriecpromotionplayoffgrpc,36,Serie C Promotion Playoff Group C,
C,seriecplayofffinalstage,37,Serie C Promotion Playoff Finals,
C,seriecpromotionplayofffinalstage,38,Serie C Promotion Finals,
C,seriecrelegationplayoff,39,Serie C Relegation Playoff,
C,seriecrelegationplayoffgrpa,34,Serie C Relegation Playoff Group A,
C,seriecrelegationplayoffgrpb,35,Serie C Relegation Playoff Group B,
C,seriecrelegationplayoffgrpc,36,Serie C Relegation Playoff Group C,
C,seriecrelegationplayofffinalstage,37,Serie C Relegation Final,
C,seriecsupercup,39,Lega Pro Super Cup,
C,coppaitalia,50,Coppa Italia,
N,JPN,Japan,90,japan
C,supercup,1,Super Cup,
			L,jleague,10,J-League,
			C,jleaguequalification,11,J-League Qualification,
C,jleague2playoff,11,J-League 2 Playoff,
C,jleague2promotionplayoff,12,J-League 2 Promotion Playoff,
			L,jleague2,20,J-League 2,
			C,cup,100,Emperor's Cup,
			C,leaguecupgrpa,200,J-League Cup Group A,
			C,leaguecupgrpb,201,J-League Cup Group B,
			C,leaguecupgrpc,202,J-League Cup Group C,
			C,leaguecupgrpd,203,J-League Cup Group D,
			C,leaguecupfinalstage,202,J-League Cup,
N,JOR,Jordan,850,jordan
L,premierleague,10,Premier League,
N,KAZ,Kazakhstan,690,kazakhstan
C,supercup,1,Supercup,
			L,premierleague,10,Premier League,
			C,premierleaguequalification,11,Premier League Qualification,
N,KEN,Kenya,660,kenya
C,supercup,1,Super Cup,
L,premierleague,10,Premier League,
N,LVA,Latvia,420,latvia
			L,virsliga,10,Virsliga,
			C,virsligaqualification,11,Virsliga Qualification,
N,LTU,Lithuania,300,lithuania
C,supercup,1,LFF Supercup,
			L,alyga,10,A-Lyga,
C,alygachampionshipgroup,11,A-Lyga Championship Group,
			C,alygaqualification,12,A-Lyga Qualification,
N,LUX,Luxembourg,605,luxembourg
L,nationaldivision,10,National Division,
C,cup,100,Luxembourg Cup,
N,MKD,North Macedonia,600,macedonia
L,prvaliga,10,Prva Liga,
C,prvaligaqualification,11,Prva Liga Qualification,
C,cup,100,North Macedonia FA Cup,
N,MAS,Malaysia,740,malaysia
L,premierleague,10,Premier League,
L,superliga,20,Superliga,
N,MEX,Mexico,260,mexico
C,supercopamx,1,SuperCopa MX,
L,ligamxapertura~ligamxguard1anes,10,Liga MX - Apertura,
C,ligamxguard1anesplayoff,11,Liga MX - Guard1anes Apertura Playoff,
C,ligamxguard1anesclausura,11,Liga MX Guard1anes - Clausura,
C,copamxaperturagrp1,101,Copa MX Apertura Group 1,
C,copamxaperturagrp2,102,Copa MX Apertura Group 2,
C,copamxaperturagrp3,103,Copa MX Apertura Group 3,
C,copamxaperturagrp4,104,Copa MX Apertura Group 4,
C,copamxaperturagrp5,105,Copa MX Apertura Group 5,
C,copamxaperturagrp6,106,Copa MX Apertura Group 6,
C,copamxaperturagrp7,107,Copa MX Apertura Group 7,
C,copamxaperturagrp8,108,Copa MX Apertura Group 8,
C,copamxaperturagrp9,109,Copa MX Apertura Group 9,
C,copamxaperturafinalstage,110,Copa MX Apertura Finals,
L,ligamxclausura,10,Liga MX - Clausura,
L,ligadeexpansionmxapertura,20,Liga de Expansion - Apertura,
L,ligadeexpansionmxclausura,20,Liga de Expansion - Clausura,
C,ligadeexpansionmxclausurafinalstage,21,Liga de Expansion Final,
C,ligadeexpansionmxaperturafinalstage,21,Liga de Expansion Final,
C,ligamxclausuraplayoff,11,Liga MX - Clausura Playoff,
C,ligamxchampionshipfinal,12,Liga MX Championship Final,
C,copamxclausuragrp1,101,Copa MX Clausura Group 1,
C,copamxclausuragrp2,102,Copa MX Clausura Group 2,
C,copamxclausuragrp3,103,Copa MX Clausura Group 3,
C,copamxclausuragrp4,104,Copa MX Clausura Group 4,
C,copamxclausuragrp5,105,Copa MX Clausura Group 5,
C,copamxclausuragrp6,106,Copa MX Clausura Group 6,
C,copamxclausuragrp7,107,Copa MX Clausura Group 7,
C,copamxclausuragrp8,108,Copa MX Clausura Group 8,
C,copamxclausuragrp9,109,Copa MX Clausura Group 9,
C,copamxclausurafinalstage,110,Copa MX Clausura Finals,
L,copamxgrp1,101,Copa MX Group 1,
L,copamxgrp2,102,Copa MX Group 2,
L,copamxgrp3,103,Copa MX Group 3,
L,copamxgrp4,104,Copa MX Group 4,
L,copamxgrp5,105,Copa MX Group 5,
L,copamxgrp6,106,Copa MX Group 6,
L,copamxgrp7,107,Copa MX Group 7,
L,copamxgrp8,108,Copa MX Group 8,
L,copamxgrp9,109,Copa MX Group 9,
C,copamxfinalstage,110,Copa MX Finals,
N,MDA,Moldova,670,moldova
			L,nationaldivision,10,Divizia Na&tcedil;ional&abreve;,
C,nationaldivisionchampionshipfinal,11,Divizia Na&tcedil;ional&abreve; Final,
N,MNE,Montenegro,510,montenegro
L,1cfl,10,1. CFL,
C,1cflqualification,11,1. CFL Qualification,
			N,MAR,Morocco,500,morocco
			L,botolapro,10,Botola Pro,
N,MYA,Myanmar,730,myanmar
L,nationalleague,10,National League,
N,NED,Netherlands,100,netherlands
C,supercup,1,Johan Cruyff Shield,
L,eredivisie,10,Eredivisie,
L,eredivisiecomeback,10,Eredivisie Comeback,
C,europaleagueplayoff,11,Europa League Playoff,
C,eredivisiequalification,19,Eredivisie Qualification,
L,eerstedivisie,20,Eerste Divisie,
L,tweededivisie,30,Tweede Divisie,
C,knvbcup,100,KNVB Cup,
N,NCA,Nicuragua,890,nicuragua
L,ligaprimeraclausura,10,Liga Primera Clausura,
C,ligaprimeraclausuraplayoff,10,Liga Primera Clausura Playoff,
N,NGA,Nigeria,840,nigeria
			L,npfl,10,Nigeria Professional Football League,
			L,npflgrpa,10,Nigeria Professional Football League Group A,
			L,npflgrpb,11,Nigeria Professional Football League Group B,
L,npflchampionshipgroup,12,NPFL Championship Group,
N,NIR,Northern Ireland,170,northernireland
L,premiership,10,Premiership,
L,premiershipchampionshipgroup,11,Premiership Championship Group,
C,europaleagueplayoff,12,Europa League Playoff,
L,premiershiprelegationgroup,13,Premiership Relegation Group,
N,NOR,Norway,250,norway
C,supercup,1,Superfinalen,
			L,eliteserien,10,Eliteserien,
			L,toppserien,10,Toppserien,
			L,1divisjon,20,1. Divisjon,
			C,1divisjonqualification,21,1. Divisjon Qualification,
			L,2divisjonavd1,31,2. Divisjon avd 1,
			L,2divisjonavd2,32,2. Divisjon avd 2,
L,2divisjonavd1promotiongroup,31,2. Divisjon avd 1 Promotion Group, (NOR)
L,2divisjonavd2promotiongroup,32,2. Divisjon avd 2 Promotion Group, (NOR)
C,cup,100,Norgesmesterskapet Cupen,
			C,eliteserienqualification,21,Eliteserien Qualification,
			C,toppserienqualification,22,Toppserien Qualification,
N,PAR,Paraguay,470,paraguay
L,divisionprofesional,10,Division Profesional,
L,divisionprofesionalapertura,10,Divisi&oacute;n Profesional - Apertura,
L,divisionprofesionalclausura,10,Divisi&oacute;n Profesional - Clausura,
C,divisionprofesionalclausurafinalstage,11,Divisi&oacute;n Profesional - Finals,
C,divisionprofesionalrelegationplayoff,11,Division Profesional Relegation Playoff,
C,divisionprofesionalclausurafinalstage,12,Divisi&oacute;n Profesional - Clausura Finals,
N,PER,Peru,630,peru
L,liga1fase1,10,Liga 1 Phase 1,
L,liga1apertura~primeradivisionapertura,10,Liga 1 Apertura,
L,liga1clausura~primeradivisionclausura,10,Liga 1 Clausura,
L,liga1clausuragroupa,10,Liga 1 Clausura Group A,
L,liga1clausuragroupb,11,Liga 1 Clausura Group B,
L,liga1finalstage,10,Liga 1 Finals,
L,primeradivisiontorneodeveranogrpa,10,Primera Division Torneo de Verano Group A,
L,primeradivisiontorneodeveranogrpb,10,Primera Division Torneo de Verano Group B,
C,primeradivisionfinalstage,15,Primera Division Final Stage,
C,primeradivisiontorneodeveranofinalstage,15,Primera Division Torneo de Verano Final Stage,
C,primeradivisionclausurachampionshipplayoff,16,Primera Division Clausura Playoff,
N,POL,Poland,350,poland
C,supercup,1,SuperPuchar Polski,
L,ekstraklasa,10,Ekstraklasa,
L,ekstraklasachampionshipgroup,11,Ekstraklasa Championship Group,
L,ekstraklasarelegationgroup,12,Ekstraklasa Relegation Group,
L,1division,20,I Liga,
C,1divisionqualification,21,I Liga Qualification,
C,1divisionpromotionplayoff,22,I Liga Promotion Playoff,
L,2division,30,II Liga,
C,2divisionpromotionplayoff,22,II Liga Promotion Playoff,
C,facup,100,Puchar Polski,
N,POR,Portugal,160,portugal
C,supercup,1,Superta&ccedil;a C&acirc;ndido de Oliveira,
L,primeiraliga,10,Primeira Liga,
L,segundaliga,20,Segunda Liga,
C,segundaligaqualification,21,Segunda Liga Qualification,
C,cup,50,Ta&ccedil;a de Portugal,
C,leaguecup,100,Ta&ccedil;a da Liga,
C,leaguecupgrpa,101,Ta&ccedil;a da Liga Group A,
C,leaguecupgrpb,102,Ta&ccedil;a da Liga Group B,
C,leaguecupgrpc,103,Ta&ccedil;a da Liga Group C,
C,leaguecupgrpd,104,Ta&ccedil;a da Liga Group D,
C,leaguecupfinalstage,105,Ta&ccedil;a da Liga Finals,
N,QAT,Qatar,860,qatar
L,qatarstarsleague,10,Qatar Stars League,
C,qatarstarsleaguequalification,11,Qatar Stars League Qualification,
N,ROU,Romania,680,romania
			C,supercup,1,Supercupa Rom&acirc;niei,
L,ligai,10,Liga I,
L,ligaichampionshipgroup,11,Liga I Championship Group,
L,ligairelegationgroup,12,Liga I Relegation Group,
C,ligaiqualification,13,Liga I Qualifiers,
C,leaguecup,50,Cupa Ligii,
C,cup,100,Cupa Rom&acirc;niei,
N,RUS,Russia,200,russia
C,supercup,1,supercup,
L,premierleague,10,Premier League,
C,premierleaguequalification,11,Premier League Qualification,
			L,nationalfootballleague~footballnationalleague,20,National Football League,
L,pflgroup1~pflgrp1,31,Russian PFL Group 1,
L,pflgroup2~pflgrp2,32,Russian PFL Group 2,
L,pflgroup3~pflgrp3,33,Russian PFL Group 3,
L,pflgroup4~pflgrp4,34,Russian PFL Group 4,
C,cup,100,Russian FA Cup,
C,cupgrp1,101,Russian FA Cup Group 1,
C,cupgrp2,102,Russian FA Cup Group 2,
C,cupgrp3,103,Russian FA Cup Group 3,
C,cupgrp4,104,Russian FA Cup Group 4,
C,cupgrp5,105,Russian FA Cup Group 5,
C,cupgrp6,106,Russian FA Cup Group 6,
C,cupgrp7,107,Russian FA Cup Group 7,
C,cupgrp8,108,Russian FA Cup Group 8,
C,cupgrp9,109,Russian FA Cup Group 9,
C,cupgrp10,110,Russian FA Cup Group 10,
C,cupfinalstage,111,Russian FA Cup,
N,KSA,Saudi Arabia,800,saudiarabia
C,supercup,1,Super Cup,
L,premierleague,10,Premier League,
C,premierleaguequalification,11,Premier League Qualification,
C,kingscup,100,King's Cup,
N,SCO,Scotland,30,scotland
L,premiership~premiershipchampionshipgroup~premiershiprelegationgroup,10,Scottish Premiership,
C,premiershipplayoff,11,Premiership Playoff,
L,championship,20,SPFL Championship,
C,championshipplayoff,21,Championship Playoff,
L,leagueone,30,SPFL League One,
C,leagueoneplayoff,31,League One Playoff,
C,leagueonepromotiongroup,31,League One Promotion Group,
C,leagueonerelegationgroup,31,League One Relegation Group,
L,leaguetwo,40,SPFL League Two,
C,leaguetwopromotiongroup,41,League One Promotion Group,
C,leaguetworelegationgroup,41,League One Relegation Group,
C,facup,50,Scottish FA Cup,
C,challengecup,70,Challenge Cup,
C,leaguecup,80,Scottish Communities League Cup,
L,leaguecupgrpa,81,Scottish Communities League Cup Group A,
L,leaguecupgrpb,82,Scottish Communities League Cup Group B,
L,leaguecupgrpc,83,Scottish Communities League Cup Group C,
L,leaguecupgrpd,84,Scottish Communities League Cup Group D,
L,leaguecupgrpe,85,Scottish Communities League Cup Group E,
L,leaguecupgrpf,86,Scottish Communities League Cup Group F,
L,leaguecupgrpg,87,Scottish Communities League Cup Group G,
L,leaguecupgrph,88,Scottish Communities League Cup Group H,
C,leaguecupfinalstage,89,Scottish Communities League Cup Finals,
N,SRB,Serbia,230,serbia
L,superliga,10,SuperLiga,
L,superligachampionshipgroup,11,Superliga Championship Group,
L,superligarelegationgroup,12,Superliga Relegation Group,
C,superligaqualification,13,SuperLiga Qualification,
C,cup,100,Kup Srbije,
N,SIN,Singapore,650,singapore
L,sleague,10,S-League,
C,cup,100,Singaporean FA Cup,
C,cupgrpa,101,Singaporean FA Cup Group A,
C,cupgrpb,101,Singaporean FA Cup Group B,
C,cupfinalstage,101,Singaporean FA Cup Finals,
C,leaguecupgrpa,200,League Cup Group A,
C,leaguecupgrpb,201,League Cup Group B,
C,leaguecupfinalstage,202,League Cup Finals,
N,SVK,Slovakia,490,slovakia
L,superliga,10,SuperLiga,
C,superligaqualification,11,SuperLiga Qualification,
C,superligachampionshipgroup,12,SuperLiga Championship Group,
C,superligaeuropaleagueplayoff,12,SuperLiga Europa League Playoff,
C,superligarelegationgroup,13,SuperLiga Relegation Group,
C,facup,100,Slovensk&yacute; Poh&aacute;r,
N,SVN,Slovenia,480,slovenia
L,prvaliga,10,PrvaLiga,
C,prvaligaqualification,11,PrvaLiga Qualification,
C,cup,100,Pokal Slovenije,
N,RSA,South Africa,560,southafrica
L,premiersoccerleague,10,Premier Soccer League,
L,premiersoccerleaguequalificationgroup,11,Premier Soccer League Qualification Group,
			N,KOR,South Korea,280,southkorea
			L,kleague~kleague1,10,K-League,
			C,kleaguequalification,11,K-League Qualification,
			C,kleague1qualification,11,K-League Qualification,
			L,kleague2,20,K-League 2,
			C,kleague2playoff,21,K-League 2 Playoff,
			C,cup,100,Korean FA Cup,
N,ESP,Spain,60,spain
C,supercup,1,Supercopa de Espa&ntilde;a,
L,laliga~primeradivision,10,La Liga,
L,laliga2~segundadivision,20,La Liga 2,
C,laliga2playoff~segundadivisionplayoff,21,Segundad Division Playoff,
L,segundabgrpi,31,Segunda Divisi&oacute;n B Group I,
L,segundabgrpii,32,Segunda Divisi&oacute;n B Group II,
L,segundabgrpiii,33,Segunda Divisi&oacute;n B Group III,
L,segundabgrpiv,34,Segunda Divisi&oacute;n B Group IV,
C,segundabpromotionplayoff,35,Segunda B Promotion Playoff,
C,segundabrelegationplayoff,36,Segunda B Relegation Playoff,
L,segundabgrpigrpa,31,Liga Segunda B Group I-A,
L,segundabgrpigrpb,31,Liga Segunda B Group I-B,
L,segundabgrpipromotiongroup,31,Liga Segunda B Group I Promotion Group,
L,segundabgrpirelegationgroup,31,Liga Segunda B Group I Relegation Group,
L,segundabgrpisecondstage,31,Liga Segunda B Group I 2nd Stage,
L,segundabgrpiigrpa,32,Liga Segunda B Group II-A,
L,segundabgrpiigrpb,32,Liga Segunda B Group II-B,
L,segundabgrpiipromotiongroup,32,Liga Segunda B Group II Promotion Group,
L,segundabgrpiirelegationgroup,32,Liga Segunda B Group II Relegation Group,
L,segundabgrpiisecondstage,32,Liga Segunda B Group II 2nd Stage,
L,segundabgrpiiigrpa,33,Liga Segunda B Group III-A,
L,segundabgrpiiigrpb,33,Liga Segunda B Group III-B,
L,segundabgrpiiipromotiongroup,33,Liga Segunda B Group III Promotion Group,
L,segundabgrpiiirelegationgroup,33,Liga Segunda B Group III Relegation Group,
L,segundabgrpiiisecondstage,33,Liga Segunda B Group III 2nd Stage,
L,segundabgrpivgrpa,34,Liga Segunda B Group IV-A,
L,segundabgrpivgrpb,34,Liga Segunda B Group IV-B,
L,segundabgrpivpromotiongroup,34,Liga Segunda B Group IV Promotion Group,
L,segundabgrpivrelegationgroup,34,Liga Segunda B Group IV Relegation Group,
L,segundabgrpivsecondstage,34,Liga Segunda B Group IV 2nd Stage,
L,segundabgrpvgrpa,35,Liga Segunda B Group V-A,
L,segundabgrpvgrpb,35,Liga Segunda B Group V-B,
L,segundabgrpvpromotiongroup,35,Liga Segunda B Group V Promotion Group,
L,segundabgrpvrelegationgroup,35,Liga Segunda B Group V Relegation Group,
L,segundabgrpvsecondstage,35,Liga Segunda B Group V 2nd Stage,
C,copadelrey,5,Copa del Rey,
			N,SWE,Sweden,150,sweden
			L,allsvenskan,10,Allsvenskan,
			C,allsvenskanqualification,11,Allsvenskan Qualification,
			L,damallsvenskan,10,Damallsvenskan,
			C,superettanqualification,12,Superettan Qualification,
			L,superettan,20,Superettan,
			C,cup,100,Svenska Cupen,
			L,cupgrp1,101,Svenska Cupen Group 1,
			L,cupgrp2,102,Svenska Cupen Group 2,
			L,cupgrp3,103,Svenska Cupen Group 3,
			L,cupgrp4,104,Svenska Cupen Group 4,
			L,cupgrp5,105,Svenska Cupen Group 5,
			L,cupgrp6,106,Svenska Cupen Group 6,
			L,cupgrp7,107,Svenska Cupen Group 7,
			L,cupgrp8,108,Svenska Cupen Group 8,
			C,cupfinalstage,109,Svenska Cupen Finals,
N,SUI,Switzerland,130,switzerland
L,superleague,10,Super League,
C,superleaguequalification,11,Super League Qualification,
L,challengeleague,20,Challenge League,
C,cup,100,Swiss Cup,
			N,TAN,Tanzania,920,tanzania
			L,premierleague,10,Premier League,
N,THA,Thailand,570,thailand
L,thaileague,10,Thai League,
N,TUN,Tunisia,440,tunisia
L,liguei,10,Ligue I,
L,ligueigroupa,10,Ligue I Group A,
L,ligueigroupb,11,Ligue I Group B,
L,ligueichampionshipgroup,12,Ligue 1 Championship Group,
L,ligueirelegationgroup,13,Ligue 1 Relegation Group,
C,ligueiqualification~ligueiqualificationgroup,14,Ligue I Qualification,
L,ligueiigrpa,21,Ligue II Group A
N,TUR,Turkey,240,turkey
C,supercup,1,S&uuml;per Kupa,
L,superlig,10,S&uuml;per Lig,
L,1lig,20,1. Lig,
C,1ligplayoff,21,1. Lig Playoff,
C,cup,100,T&uuml;rkiye Kupas&inodot;,
C,cupgrpa,101,T&uuml;rkiye Kupas&inodot; Group A,
C,cupgrpb,102,T&uuml;rkiye Kupas&inodot; Group B,
C,cupgrpc,103,T&uuml;rkiye Kupas&inodot; Group C,
C,cupgrpd,104,T&uuml;rkiye Kupas&inodot; Group D,
C,cupgrpe,105,T&uuml;rkiye Kupas&inodot; Group E,
C,cupgrpf,106,T&uuml;rkiye Kupas&inodot; Group F,
C,cupgrpg,107,T&uuml;rkiye Kupas&inodot; Group G,
C,cupgrph,108,T&uuml;rkiye Kupas&inodot; Group H,
C,cupfinalstage,109,T&uuml;rkiye Kupas&inodot; Final Stage,
N,UKR,Ukraine,330,ukraine
C,supercup,1,Super Cup,
L,premierleague,10,Premier League,
L,premierleaguechampionshipgroup,11,Premier League Championship Group,
L,premierleagueeuropaleagueplayoff,12,Premier League Europa League Playoff,
L,premierleaguerelegationgroup,12,Premier League Relegation Group,
C,premierleaguequalification,13,Premier League Qualification,
C,cup,100,Ukrainian FA Cup,
N,UAE,United Arab Emirates,830,unitedarabemirates
L,arabiangulfleague,10,Arabian Gulf League,
C,presidentscup,100,President's Cup,
N,USA,United States,190,unitedstates
			L,majorleaguesoccer,10,Major League Soccer,
			L,majorleaguesoccergrpa,11,MLS Group A,
			L,majorleaguesoccergrpb,12,MLS Group B,
			L,majorleaguesoccergrpc,13,MLS Group C,
			L,majorleaguesoccergrpd,14,MLS Group D,
			L,majorleaguesoccergrpe,15,MLS Group E,
			L,majorleaguesoccergrpf,16,MLS Group F,
			C,majorleaguesoccerplayoff~majorleaguesoccerchampionshipplayoff,11,Major League Soccer Playoffs,
L,naslfallseason,20,NASL Fall Season,
L,naslspringseason,20,NASL Spring Season,
L,nisafallseason,21,NISA Fall Season,
L,nisaspringseason,21,NISA Spring Season,
L,nisafallseasonchampionshipgrpa,21,NISA Fall Season Championship Group A,
L,nisafallseasonchampionshipgrpb,21,NISA Fall Season Championship Group B,
L,nisaspringseasonchampionshipgrpa,21,NISA Spring Season Championship Group A,
L,nisaspringseasonchampionshipgrpb,21,NISA Spring Season Championship Group B,
C,nisalegendscup,22,NISA Legends Cup,
C,nisalegendscupplayoff,22,NISA Legends Cup Playoffs,
C,nisalegendscupplacementmatches,22,NISA Legends Cup Placement Matches,
			L,usl~uslchampionship,30,United Soccer League Championship,
			C,uslplayoff~uslchampionshipplayoff,31,USL Playoff,
			L,uslleagueone,40,USL League 1,
			C,uslleagueoneplayoff,41,USL League 1 Playoff,
			L,nwsl,50,National Women's Soccer League,
L,nwslfallseriesnortheast,51,NWSL Fall Series (North-east),
L,nwslfallseriessouth,51,NWSL Fall Series (South),
L,nwslfallserieswest,51,NWSL Fall Series (West),
L,nwslchallengecupeast,52,NWSL Challenge Cup East,
L,nwslchallengecupwest,52,NWSL Challenge Cup West,
			C,nwslplayoff,51,NWSL Playoff,
C,usopencup,100,US Open Cup,
C,nwslchallengecup,101,NWSL Challenge Cup,
C,nwslchallengecupfinalstage,101,NWSL Challenge Cup Finals,
N,URU,Uruguay,380,uruguay
			L,primeradivisionapertura,10,Primera Division Apertura,
			L,primeradivisionclausura,10,Primera Division Clausura,
L,primeradivisiongroupb,10,Primera Division Group B,
L,primeradivisionclausurafinalstage,11,Primera Division Clausura Finals,
C,primeradivisionaperturafinal,11,Primera Division Apertura Final,
			C,primeradivisionfinalstage,11,Primera Division Finals,
C,primeradivisionintermedio,15,Primera Division Intermedio,
C,primeradivisionintermediofinalstage,16,Primera Division Intermedio Finals,
C,primeradivisionrelegationplayoff,17,Primera Division Relegation Playoff,
N,VEN,Venezuela,400,venezuela
			L,primeradivision,10,Primera Division, 
			L,primeradivisiongrupooriental,10,Primera Division Group Oriental,
			L,primeradivisiongrupooccidental,10,Primera Division Group Occidental,
			L,primeradivisiongrupocentral,10,Primera Division Group Central,
			L,primeradivisionapertura,10,Primera Division Apertura,
L,primeradivisiongroupa,10,Primera Division Group A,
L,primeradivisiongroupb,11,Primera Division Group B,
C,primeradivisionaperturafinalstage,11,Primera Division Apertura Final Stage,
L,primeradivisionclausura,10,Primera Division Clausura,
C,primeradivisionclausurafinalstage,11,Primera Division Clausura Final Stage,
C,primeradivisionfinalstage,9999,Primera Division Finals,
N,VIE,Vietnam,880,vietnam
L,vleague,10,V-League,
C,vleaguequalification,11,V-League Qualification,
L,vleaguechampionshipgroup,11,V-League Championship Group,
L,vleaguerelegationgroup,11,V-League Relegation Group,
N,WAL,Wales,310,wales
L,premierleague,10,Premier League,
L,premierleaguechampionshipgroup,11,Premier League Championship Group,
C,premierleagueplayoffeuropaleague,11,Premier League Europa League Playoff,
L,premierleaguerelegationgroup,11,Premier League Relegation Group,
L,premierdivision,10,Premier Division,
C,welshcup,100,Welsh Cup,

